,Europe,Caribbean,Asia,South America,Central America,Oceania,Middle East,Africa,Total Overseas,Mexico,Canada,North America,Grand Total
2014-01-31,577691.00,498620.00,376296.00,127749.00,219192.00,51774.00,140179.00,23982.00,2015483.00,2073218.50,450103.00,2523321.50,4538804.50
2014-02-28,497003.00,550203.00,312814.00,137612.00,225540.00,62658.00,119192.00,21066.00,1926088.00,1975580.80,483157.00,2458737.80,4384825.80
2014-03-31,806663.00,705211.00,397296.00,154680.00,283108.00,60097.00,140706.00,27950.00,2575711.00,2396038.50,553030.00,2949068.50,5524779.50
2014-04-30,868367.00,629774.00,381817.00,123068.00,213929.00,41314.00,141744.00,27596.00,2427609.00,2052385.20,662708.00,2715093.20,5142702.20
2014-05-31,1305842.00,624280.00,379197.00,144464.00,209012.00,46359.00,162244.00,36044.00,2907442.00,2123547.90,992697.00,3116244.90,6023686.90
2014-06-30,1614486.00,742860.00,424155.00,208023.00,301095.00,45003.00,180874.00,40542.00,3557038.00,2199477.20,1402535.00,3602012.20,7159050.20
2014-07-31,1413798.00,821650.00,397960.00,167627.00,308557.00,48892.00,148098.00,40732.00,3347314.00,2313740.60,1840827.00,4154567.60,7501881.60
2014-08-31,1185907.00,629224.00,342239.00,143609.00,206176.00,39913.00,145620.00,34231.00,2726919.00,2113128.80,1889787.00,4002915.80,6729834.80
2014-09-30,1241537.00,347244.00,338630.00,112581.00,121158.00,38013.00,133173.00,29205.00,2361541.00,1608221.30,1074367.00,2682588.30,5044129.30
2014-10-31,915090.00,436791.00,397721.00,123729.00,145848.00,46573.00,134341.00,25974.00,2226067.00,1875762.60,860615.00,2736377.60,4962444.60
2014-11-30,675275.00,513983.00,364160.00,134019.00,180485.00,53030.00,143546.00,21875.00,2086373.00,2265596.20,562470.00,2828066.20,4914439.20
2014-12-31,790557.00,672032.00,396232.00,194344.00,283007.00,67699.00,189966.00,28726.00,2622563.00,2884937.10,742276.00,3627213.10,6249776.10
2015-01-31,585982.00,560268.00,392463.00,129211.00,223884.00,53439.00,162570.00,25125.00,2132942.00,2295254.40,476015.00,2771269.40,4904211.40
2015-02-28,500982.00,610837.00,325069.00,135309.00,230021.00,67496.00,136853.00,20343.00,2026910.00,2208351.40,507236.00,2715587.40,4742497.40
2015-03-31,840187.00,755526.00,439242.00,154234.00,283876.00,61684.00,166257.00,27766.00,2728772.00,2533087.60,591445.00,3124532.60,5853304.60
2015-04-30,926094.00,671777.00,403753.00,126276.00,208872.00,42818.00,145791.00,24945.00,2550326.00,2268788.70,701069.00,2969857.70,5520183.70
2015-05-31,1339841.00,647866.00,409652.00,146458.00,207285.00,45192.00,181811.00,31857.00,3009962.00,2290029.20,1069379.00,3359408.20,6369370.20
2015-06-30,1741971.00,783320.00,436330.00,182575.00,301400.00,54120.00,191786.00,35090.00,3726592.00,2444530.00,1580560.00,4025090.00,7751682.00
2015-07-31,1518260.00,852692.00,413295.00,179749.00,306278.00,51647.00,199753.00,39673.00,3561347.00,2673055.30,2054370.00,4727425.30,8288772.30
2015-08-31,1279176.00,656606.00,365482.00,156707.00,207156.00,42810.00,168455.00,33198.00,2909590.00,2291681.30,1865483.00,4157164.30,7066754.30
